종목명,종목코드,소속,섹터,테마,AI수급점수,Quant점수,정성점수,정성보정치,점수모드,현재가,등락률,외인강도(%),연기금강도(%),투신강도(%),사모강도(%),외인연속,연기금연속,이격도(%),손바뀜(%),RSI,거래급증(%),추세상승,음봉매집률,시가총액,PER,ROE,뉴스테마가점,뉴스톤계수,뉴스부정키워드수,테마가점완화,눌림목가감,눌림목신호,점수변화(안정화),신호신뢰도,신호등급,신호레짐
나노신소재,121600,KOSDAQ,화학,2차전지;소재,65.37,66,48.76,-0.5,상승장 (보수적 반영),88800,9.63,-1.414555656649205,1.0234795055601509,1.7309645804613547,0.3869917287014061,0,1,122.9,13.7,71.0,194.8,True,0.0,10881,662.69,0.67,0.0,0.35,1,0.0,-0.4,대기,-0.63,60.83,High,RiskOn
제주반도체,080220,KOSDAQ,반도체와반도체장비,반도체;팹리스,61.28,60,54.92,1.97,상승장 (보수적 반영),54000,18.16,8.99845917791279,0.0913884187321899,0.4387005511048981,0.0237218802086133,1,1,128.7,96.9,78.8,659.2,True,0.1432,18599,47.08,19.21,1.604,0.35,1,0.0,-1.0,대기,-0.72,57.93,High,RiskOn
호텔신라,008770,KOSPI,백화점과일반상점,면세;소비,60.45,61,49.04,-0.38,상승장 (보수적 반영),62300,9.88,2.87864016440373,0.8683833612792409,1.5008594082283655,0.9763221229347292,4,3,125.7,9.0,84.1,513.9,True,0.0638,24452,-14.42,-14.46,0.0,0.35,1,0.0,-0.4,대기,-0.55,56.92,High,RiskOn
고영,098460,KOSDAQ,전자장비와기기,반도체장비;자동화,60.18,59,54.57,1.83,상승장 (보수적 반영),42300,29.95,5.726689919424262,-0.4091252350125685,0.2147781705175441,0.3460905220205916,3,3,144.7,57.4,81.0,613.9,True,0.0,29041,196.74,4.48,1.604,0.35,1,0.0,-1.0,대기,-0.82,57.03,High,RiskOn
세미파이브,490470,KOSDAQ,반도체와반도체장비,반도체;ASIC,58.95,61,46.24,-1.5,상승장 (보수적 반영),39000,15.56,1.7055637220749715,0.517391325255585,1.6210030632336236,-0.2345555509276789,3,0,126.7,33.6,69.2,257.4,True,0.0,13205,-19.72,-31.2,1.604,0.35,1,0.0,-1.0,대기,-1.05,55.83,High,RiskOn
티엘비,356860,KOSDAQ,반도체와반도체장비,PCB;반도체,57.83,55,55.41,2.16,상승장 (보수적 반영),82800,5.48,-1.1784300700159684,0.3501749539368628,2.842301903943005,0.1919024198501412,1,0,110.4,13.1,61.6,114.4,True,0.0,8141,42.75,15.99,1.604,0.35,1,0.0,0.6,대기,-0.17,54.57,High,RiskOn
샘씨엔에스,252990,KOSDAQ,반도체와반도체장비,반도체테스트;세라믹기판,55.2,53,55.62,2.25,상승장 (보수적 반영),13820,1.77,-0.8755909216534488,0.4962187238644556,0.8596783056957461,0.0166505383321317,0,8,128.2,10.5,81.6,47.1,True,0.204,8322,53.57,9.7,1.604,0.35,1,0.0,-0.4,대기,-0.8,52.79,High,RiskOn
코오롱인더,120110,KOSPI,화학,화학소재;산업재,55.11,52,54.71,1.88,상승장 (보수적 반영),87400,-2.13,-0.7981439154854238,0.8125985251977228,1.013859859397089,1.000548358995912,0,6,103.0,6.5,58.5,70.8,True,0.1849,26173,69.15,1.01,0.0,0.35,1,0.0,1.7,관심,1.11,52.13,High,RiskOn
해성디에스,195870,KOSPI,반도체와반도체장비,리드프레임;반도체,53.19,52,53.1,1.24,상승장 (보수적 반영),81700,7.36,1.6825965404276766,0.7673556231550148,-0.0979149902800777,0.4455668910648714,7,5,139.8,13.2,81.9,135.5,True,0.0,13889,58.32,4.25,1.604,0.35,1,0.0,-0.4,대기,-0.81,51.14,High,RiskOn
성광벤드,014620,KOSDAQ,기계,조선;플랜트,53.15,53,50.44,0.18,상승장 (보수적 반영),47550,19.02,-0.0699893609439341,0.8217367556224264,0.1972414119417168,0.0716972838137472,4,1,122.5,10.4,81.8,1003.8,True,0.0,12628,37.44,6.45,1.604,0.35,1,0.0,-0.4,대기,-0.85,51.04,High,RiskOn
