날짜,종목명,종목코드,테마,매수후보,진입유형,스윙우선순위,기관동행점수,연기금5일강도(%),연기금10일강도(%),진입코멘트,매도점검,현재가,AI수급점수,신호등급
2026-05-08,코오롱인더,120110,화학소재;산업재,신규후보,눌림목,55.43,21.61,0.3851,1.2963,연기금 10일 순매수 · 기관 동행 · 20일선 부근 눌림,보유/관찰,91900,43.21,Medium
2026-05-08,파마리서치,214450,건강관리장비와용품,신규후보,돌파,49.7,15.06,0.4499,0.4542,연기금 10일 순매수 · 기관 동행 · 거래량 동반 돌파,보유/관찰,341000,46.37,High
2026-05-08,이마트,139480,백화점과일반상점,신규후보,돌파,49.31,22.02,0.5228,0.5379,연기금 10일 순매수 · 기관 동행 · 거래량 동반 돌파,보유/관찰,112900,35.5,Medium
2026-05-08,교보증권,030610,증권,관찰,관찰,55.92,35.0,0.141,0.1959,연기금 10일 순매수 · 기관 동행,보유/관찰,14830,36.5,Medium
2026-05-08,호텔신라,008770,면세;소비,관찰,관찰,52.79,20.86,0.0616,0.8673,연기금 10일 순매수 · 기관 동행,보유/관찰,64200,51.83,High
2026-05-08,코리아써키트,007810,전자장비와기기,관찰,관찰,51.08,23.25,0.74,0.9824,연기금 10일 순매수 · 기관 동행,보유/관찰,102200,45.38,High
2026-05-08,해성디에스,195870,리드프레임;반도체,관찰,과열주의,50.22,20.79,0.5365,0.0959,연기금 10일 순매수 · 기관 동행 · 이격/RSI 과열,익절/추격주의,87500,59.57,High
2026-05-08,LS머트리얼즈,417200,2차전지;소재,관찰,과열주의,45.55,16.54,0.233,0.6711,연기금 10일 순매수 · 기관 동행 · 이격/RSI 과열,익절/추격주의,26600,57.75,High
2026-05-08,테스,095610,반도체장비;반도체,관찰,돌파,45.31,4.35,-0.1679,0.0653,연기금 10일 순매수 · 거래량 동반 돌파,보유/관찰,92900,54.5,High
2026-05-08,RFHIC,218410,통신장비,관찰,눌림목,45.31,5.39,0.2098,0.4412,연기금 10일 순매수 · 20일선 부근 눌림,보유/관찰,99700,49.54,High
2026-05-08,ISC,095340,반도체소켓;반도체,관찰,관찰,44.3,6.15,-0.1032,-0.1127,추가 확인 필요,수급훼손,253500,58.75,High
2026-05-08,제주반도체,080220,반도체;팹리스,관찰,과열주의,43.14,14.17,0.0498,0.1429,연기금 10일 순매수 · 기관 동행 · 이격/RSI 과열,익절/추격주의,54700,57.06,High
