corp_code,corp_name,stock_code
260985,한빛네트,36720
264529,엔플렉스,40130
358545,동서정보기술,55000
231567,애드모바일,32600
359614,리더컴,56140
153551,허메스홀딩스,12400
344746,유티엑스,45880
261188,글로포스트,37830
268020,쏠라엔텍,30390
269287,보홍,41320
475286,동북아1호선박투자회사,78420
250775,에듀아크,46350
114321,데코,13650
191108,엘앤씨피,15390
167378,희훈디앤지,19640
225210,퓨쳐인포넷,58690
223346,쓰리디넷,35400
174129,제일저축은행,24100
114826,제일창업투자,26540
173333,현대DSF,16510
687599,네프로아이티,950030
256292,자강,36790
271431,케이엠에스,38830
154727,에버리소스,20070
246189,제이에스,37110
154204,태창기업,7490
152631,에이치비이에너지,17300
358095,코어비트,56850
510215,동북아8호선박투자회사,82110
347619,한국통신데이타,45760
372013,케너텍,62730
353735,다휘,55250
186540,코오롱아이넷,22520
128759,캠브리지코오롱,4620
535588,네오세미테크,89240
264981,디에이치패션,45260
231521,핸디소프트,32380
159908,케이엠에이치,9690
259493,씨엘엘씨디,35710
359641,현대푸드시스템,114410
161639,메리츠종합금융,12420
211271,제넥셀세인,34660
388272,쓰리디월드,65340
264796,스톰이앤에프,43680
134909,소예,35010
236368,엠엔에프씨,48640
684547,하이트맥주,103150
251385,보광티에스,66690
262682,아인스엠앤엠,40740
234555,씨엔씨엔터프라이즈,38420
507257,아이알디,84810
417963,바이나믹,67850
543523,코크렙제7호위탁관리부동산투자회사,86720
300566,엔빅스,54170
299376,선팩테크,54010
112068,마이크로닉스,1190
257194,블루스톤디앤아이,33720
477372,신지소프트,78700
465410,맥쿼리센트럴오피스기업구조조정부동산투자회사,76850
331760,테스텍,48510
200761,중앙디자인,30030
268297,에코페트로시스템,42870
161301,한림창업투자,21060
237260,헤쎄나,36270
297970,미래에셋굿라이프혼합형자녀를위한투자회사10-1,37510
107358,일공공일안경콘택트,32030
267474,지앤알,43630
134051,셀런,13240
596066,한국베트남15-1유전해외자원개발투자회사,93820
347363,에이치원바이오,52310
150226,씨앤중공업,8400
152914,FnC코오롱,1370
158839,제너비오믹스,17010
159281,케드콤,11050
210537,지엔텍홀딩스,65410
240370,동부씨엔아이,44640
247887,아이피에스,51820
268358,에스브이에이치,46240
316488,제이콤,60750
264130,옥션,43790
540304,네이쳐글로벌,88020
617299,GB블루오션베트남주식혼합형투자회사1호,94950
262275,엠씨티티코어,52210
200798,에이스앤파트너스,32930
335924,지앤디윈텍,61050
111591,인터피온반도체,14010
189343,솔로몬저축은행,7800
252588,엠트론스토리지테크놀로지,46320
267997,에스티앤아이,31800
299686,유퍼트,60670
463050,엑스로드,74140
238913,선우중공업,68770
107446,남양,3020
114303,엘지데이콤,15940
318617,LG파워콤,45820
267775,동산진흥,31960
394574,티이씨,67950
110176,한국기술산업,8320
136554,스타맥스,17050
144562,유성티에스아이,24870
370547,네오리소스,58550
242439,케이알,35950
134060,씨앤상선,790
392600,투미비티,58900
259855,코아정보시스템,39990
385451,케이에스리소스,66340
258944,세계투어,47600
798530,동양밸류오션기업인수목적,122290
451268,케이이엔지,77960
336570,사이버패스,63280
363325,산양전기,79870
148188,으뜸상호저축은행,32150
508566,국제개발,80570
133928,세신,4230
540784,골든브릿지더블유엠경매부동산일호투자회사,84160
298252,엘앤피아너스,61140
264556,에이스일렉트로닉스,38690
581000,디앤샵,90090
359094,더체인지,54120
686970,다산자기관리부동산투자회사,105380
255309,써니트렌드,35500
362380,뉴젠비아이티,54650
244862,룩소네이트,33880
297165,현대오토넷,42100
105767,LG마이크론,16990
173397,서광건설산업,1600
259606,플러스프로핏,36660
178471,한와이어리스,37020
331733,포휴먼,49690
104892,알이네트웍스,23670
647917,케이알제2호개발전문위탁관리부동산투자회사,101790
597764,미래에셋맵스오퍼튜니티베트남주식혼합형투자회사1호,94520
355821,씨티엘테크,88960
329677,이디디컴퍼니,52650
244871,케이티프리텔,32390
246383,메카포럼,35830
345499,에스피코프,48130
348140,이롬텍,45400
215107,이앤텍,47450
560991,맥스브로,88810
265263,토자이홀딩스,37700
142564,우방,13200
198572,동양매직,23020
642648,코웰이홀딩스유한공사,900020
537443,아구스,78670
113173,대한은박지,7480
441872,인스프리트,73130
480844,하이럭스,79340
262044,트리니티,53070
101442,카라반케이디이,32570
295875,더존디지털웨어,45380
441298,디보스,80140
263885,포네이처,45290
475532,테이크시스템즈,76090
130204,폴켐,33190
128731,유리이에스,7050
325981,에프아이투어,47370
540021,모빌탑,85680
362089,올리브나인,52970
228916,디패션,30420
114215,알덱스,25970
109648,오라바이오틱스,16160
261212,시노펙스그린테크,37320
348007,야호커뮤니케이션,59720
275808,브이케이,48760
375579,팬택앤큐리텔,63350
197324,팬텀엔터테인먼트그룹,25460
339063,삼성수산,52560
538497,동북아15호선박투자회사,84240
225140,쌈지,33260
