종목명,일자,종가,외인,연기금,투신,사모,거래량,거래대금(억)
삼성전자,20260512,279000.0,-2182961.844,-16626.168,165768.129,5202.513,40936347.0,114212.40813
삼성전자,20260511,285500.0,-2283406.731,-49671.861,12275.6435,-6547.9425,36031094.0,102868.77337
삼성전자,20260508,268500.0,-2576509.0845,1292.559,8023.5855,-58057.755,25875880.0,69476.7378
삼성전자,20260507,271500.0,-2808486.138,20716.8075,-34857.342,-201690.5625,41404687.0,112413.725205
삼성전자,20260506,266000.0,3150022.008,-16867.858,-51415.672,9966.488,53097996.0,141240.66936
삼성전자,20260504,232500.0,1212482.6175,56284.53,58025.025,130602.69,32920816.0,76540.8972
삼성전자,20260430,220500.0,-185428.152,-6764.2785,20153.7,-11553.318,22161975.0,48867.154875
삼성전자,20260429,226000.0,458448.458,12687.414,2801.948,43842.192,20363756.0,46022.08856
삼성전자,20260428,222000.0,-680787.642,39423.648,-5300.916,27463.62,18444490.0,40946.7678
삼성전자,20260427,224500.0,1011258.2295,46377.659,-16135.0395,1189.6255,22870374.0,51343.98963
삼성전자,20260424,219500.0,-1072854.54,4852.0475,-4901.6545,-135951.9345,19626666.0,43080.53187
삼성전자,20260423,224500.0,740591.1515,40573.436,-47015.0145,29515.464,34525485.0,77509.713825
삼성전자,20260422,217500.0,-283686.7725,7282.77,2005.785,-42727.875,16823480.0,36591.069
삼성전자,20260421,219000.0,283703.769,-5178.255,-10329.135,100155.27,16752132.0,36687.16908
삼성전자,20260420,214500.0,-616946.8305,-17492.475,-6689.1825,-24910.0995,17107741.0,36696.104445
삼성전자,20260417,216000.0,-686255.76,-32486.184,11999.664,-18131.904,18079322.0,39051.33552
삼성전자,20260416,217500.0,367393.3875,-20927.6325,6379.4925,-42454.9125,21499788.0,46762.0389
삼성전자,20260415,211000.0,13711.624,-18860.446,-48967.192,-22826.824,24092884.0,50835.98524
삼성전자,20260414,206500.0,-104363.2415,11105.3635,40975.382,63366.177,23672078.0,48882.84107
삼성전자,20260413,201000.0,-288965.238,-207844.653,-83378.217,-28396.878,19603415.0,39402.86415
삼성전자,20260410,206000.0,95825.226,-38017.918,24224.57,-20796.73,18244459.0,37583.58554
삼성전자,20260409,204000.0,2259718.2,19559.928,28453.512,55942.92,42320839.0,86334.51156
삼성전자,20260408,210500.0,492332.977,-14168.9655,-42998.835,-107165.3395,35890973.0,75550.498165
삼성전자,20260407,196500.0,-536984.982,10521.1995,21742.1355,1302.5985,30848053.0,60616.424145
삼성전자,20260406,193100.0,231419.3433,-26119.0922,12167.231,46504.6592,20635958.0,39848.034898
삼성전자,20260403,186200.0,96144.7424,-14626.1962,49846.4848,105767.5584,20194447.0,37602.060314
삼성전자,20260402,178400.0,-249846.3456,-11893.928,-10925.5728,118477.7592,38615231.0,68889.572104
삼성전자,20260401,189600.0,-10842.6552,-5136.264,134000.3688,75243.8976,32390251.0,61411.915896
삼성전자,20260331,167200.0,-1957382.6448,-57948.176,17197.6904,110027.1304,38659593.0,64638.839496
