날짜,일간수익률,누적수익률,최대낙폭(%),리스크상태
2026-05-08,-2.0103662321539413,-2.010366,0.0,Low
2026-05-11,0.0,-2.010366,0.0,Low
2026-05-12,-4.670809091540799,-6.681175,-4.77,Medium
2026-05-13,3.810728759812263,-2.870447,-0.88,Low
2026-05-14,4.203785578622925,1.333339,0.0,Low
2026-05-15,-8.03533511688807,-6.701996,-7.93,Medium
2026-05-18,0.8405250597534737,-5.861471,-7.1,Medium
2026-05-19,-2.46147785294274,-8.322949,-9.53,High
2026-05-20,-2.02936359757459,-10.352312,-11.53,High
2026-05-21,-0.4794317739679914,-10.831744,-12.01,High
2026-05-22,3.4411083556005138,-7.390636,-8.61,High
2026-05-25,0.0,-7.390636,-8.61,High
2026-05-26,3.740389988385437,-3.650246,-4.92,Medium
2026-05-27,-1.473430680930002,-5.123677,-6.37,Medium
2026-05-28,1.310256993816488,-3.81342,-5.08,Medium
2026-05-29,2.336901327523793,-1.476518,-2.77,Low
2026-06-01,-3.755664557779223,-5.232183,-6.48,Medium
2026-06-02,-5.020456764236979,-10.25264,-11.43,High
2026-06-03,0.0,-10.25264,-11.43,High
2026-06-04,1.3763409949744727,-8.876299,-10.08,High
2026-06-05,-2.0858949897533745,-10.962194,-12.13,High
2026-06-08,-10.94660395860251,-21.908798,-22.94,High
2026-06-09,8.891708399073233,-13.017089,-14.16,High
2026-06-10,-1.9303815188039504,-14.947471,-16.07,High
2026-06-11,4.159559754444888,-10.787911,-11.96,High
2026-06-12,7.465645373812681,-3.322266,-4.59,Medium
2026-06-15,-1.808242461453642,-5.130508,-6.38,Medium
2026-06-16,2.791941101534125,-2.338567,-3.62,Low
2026-06-17,-1.8556775373251773,-4.194244,-5.45,Medium
2026-06-18,-1.3722691505417768,-5.566514,-6.81,Medium
2026-06-19,-3.5316150143804657,-9.098129,-10.29,High
2026-06-22,-2.932215131250956,-12.030344,-13.19,High
2026-06-23,-5.837340329835503,-17.867684,-18.95,High
2026-06-24,5.988417028886476,-11.879267,-13.04,High
2026-06-25,9.132470304644402,-2.746797,-4.03,Medium
2026-06-26,-3.7262438652168632,-6.473041,-7.7,Medium
2026-06-29,3.2151803539515833,-3.25786,-4.53,Medium
