종목명,종목코드,AI수급점수,매수후보,진입유형,스윙우선순위,기관동행점수,수급품질점수,주도주점수,수급흡수율,수급지속일수,종목체급,전략슬리브,거래대금활력,20일평균거래대금(억),진입코멘트,매도점검,테마,정배열,추세품질점수,MA5,MA10,MA20,순위,날짜
KB금융,105560.0,24.0,신규후보,주도눌림,57.59,21.09,49.92,82.8,0.4304,4,대형,주도대형,0.97,1191.9,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,은행,True,100.0,127700.0,124690.0,124690.0,1,2025-12-03
삼성전자우,5935.0,25.0,신규후보,주도눌림,56.82,18.34,13.59,88.94,0.0638,2,대형,주도대형,0.81,1880.7,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,반도체와반도체장비,True,100.0,76860.0,75700.0,75700.0,2,2025-12-03
삼성물산,28260.0,25.0,신규후보,주도눌림,51.1,13.09,54.06,81.06,0.4891,4,대형,주도대형,0.94,1011.5,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,복합기업,True,100.0,230600.0,227550.0,227550.0,3,2025-12-03
현대차,5380.0,24.0,관찰,주도눌림,48.92,10.8,4.0,83.24,-4.9925,0,대형,주도대형,1.1,1402.2,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,자동차,True,100.0,262000.0,260800.0,260800.0,4,2025-12-03
현대모비스,12330.0,25.0,관찰,주도눌림,47.14,10.96,8.0,67.64,-6.3148,0,대형,주도대형,1.26,573.3,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,자동차부품,True,100.0,310800.0,303100.0,303100.0,5,2025-12-03
SK,34730.0,17.0,관찰,주도눌림,46.3,14.49,55.8,72.64,0.7071,4,대형,주도대형,1.12,609.6,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,보유/관찰,석유와가스,True,100.0,259600.0,256000.0,256000.0,6,2025-12-03
삼성전자,5930.0,19.0,관찰,주도눌림,41.59,3.96,4.0,91.9,-1.8781,1,대형,주도대형,0.78,18703.4,대형 주도주 조건 · 대형 주도주 눌림,보유/관찰,반도체와반도체장비,True,100.0,102540.0,100690.0,100690.0,7,2025-12-03
기아,270.0,26.0,관찰,주도눌림,40.45,1.58,4.0,72.07,-1.5787,0,대형,주도대형,0.99,898.7,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,보유/관찰,자동차,True,100.0,115200.0,113890.0,113890.0,8,2025-12-03
삼성SDI,6400.0,15.0,관찰,주도눌림,39.86,7.37,33.48,77.45,0.3097,3,대형,주도대형,0.81,1040.2,거래대금 대비 수급 양호 · 대형 주도주 조건 · 대형 주도주 눌림,수급훼손,전기제품,True,100.0,302300.0,297200.0,297200.0,9,2025-12-03
두산에너빌리티,34020.0,18.0,관찰,주도눌림,39.31,3.07,0.0,86.0,-0.6526,0,대형,주도대형,0.86,2580.3,대형 주도주 조건 · 대형 주도주 눌림,수급훼손,기계,True,100.0,76460.0,75680.0,75680.0,10,2025-12-03
삼성전기,9150.0,18.0,관찰,주도눌림,39.07,3.23,0.0,83.67,-1.5284,0,대형,주도대형,0.8,1680.8,대형 주도주 조건 · 대형 주도주 눌림,수급훼손,전자장비와기기,True,100.0,253800.0,242950.0,242950.0,11,2025-12-03
하나금융지주,86790.0,18.0,관찰,주도눌림,37.79,5.52,8.0,63.48,-0.4426,2,대형,주도대형,0.84,700.1,연기금 10일 순매수 · 대형 주도주 조건 · 대형 주도주 눌림,보유/관찰,은행,True,100.0,94860.0,93040.0,93040.0,12,2025-12-03
미래에셋증권,6800.0,25.0,관찰,주도눌림,37.41,0.01,0.0,65.0,-1.4353,0,대형,주도대형,0.9,704.2,대형 주도주 조건 · 대형 주도주 눌림,수급훼손,증권,True,100.0,21894.6,21710.3,21710.3,13,2025-12-03
HD현대일렉트릭,267260.0,18.0,관찰,주도눌림,36.92,2.44,4.0,74.4,-0.4126,0,대형,주도대형,0.9,1215.9,대형 주도주 조건 · 대형 주도주 눌림,수급훼손,전기장비,True,100.0,784000.0,781300.0,781300.0,14,2025-12-03
