거래ID,진입일,종목명,종목코드,진입순위,AI수급점수,진입유형,스윙우선순위,추천소스,진입코멘트,보유일수,청산방식,청산사유,진입가,청산일,청산가,수익률,상태
20251203_KB금융_D10,2025-12-03,KB금융,105560.0,1,24.0,주도눌림,57.59,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,131700.0,2025-12-17,124300.0,-5.6188,closed
20251203_삼성전자우_D10,2025-12-03,삼성전자우,5935.0,2,25.0,주도눌림,56.82,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,78100.0,2025-12-17,83900.0,7.4264,closed
20251203_삼성물산_D10,2025-12-03,삼성물산,28260.0,3,25.0,주도눌림,51.1,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,245500.0,2025-12-17,243000.0,-1.0183,closed
20251203_KB금융_D5,2025-12-03,KB금융,105560.0,1,24.0,주도눌림,57.59,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,131700.0,2025-12-10,124500.0,-5.467,closed
20251203_삼성전자우_D5,2025-12-03,삼성전자우,5935.0,2,25.0,주도눌림,56.82,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,78100.0,2025-12-10,81000.0,3.7132,closed
20251203_삼성물산_D5,2025-12-03,삼성물산,28260.0,3,25.0,주도눌림,51.1,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,245500.0,2025-12-10,247500.0,0.8147,closed
20251203_KB금융_SIGNAL,2025-12-03,KB금융,105560.0,1,24.0,주도눌림,57.59,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,4,시그널,손절,131700.0,2025-12-09,126000.0,-4.328,closed
20251203_삼성전자우_SIGNAL,2025-12-03,삼성전자우,5935.0,2,25.0,주도눌림,56.82,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,9,시그널,스윙약화,78100.0,2025-12-16,79800.0,2.1767,closed
20251203_삼성물산_SIGNAL,2025-12-03,삼성물산,28260.0,3,25.0,주도눌림,51.1,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,시그널,수급훼손,245500.0,2025-12-17,243000.0,-1.0183,closed
20251204_KB금융_D10,2025-12-04,KB금융,105560.0,1,25.0,주도눌림,59.5,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,128800.0,2025-12-18,124000.0,-3.7267,closed
20251204_현대차_D10,2025-12-04,현대차,5380.0,2,36.0,주도눌림,58.69,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,10,D+10,D+10,283500.0,2025-12-18,282500.0,-0.3527,closed
20251204_삼성전자_D10,2025-12-04,삼성전자,5930.0,3,19.0,주도눌림,42.86,리플레이,대형 주도주 조건 · 대형 주도주 눌림,10,D+10,D+10,105100.0,2025-12-18,107600.0,2.3787,closed
20251204_KB금융_D5,2025-12-04,KB금융,105560.0,1,25.0,주도눌림,59.5,리플레이,연기금 10일 순매수 · 거래대금 대비 수급 양호 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,128800.0,2025-12-11,124800.0,-3.1056,closed
20251204_현대차_D5,2025-12-04,현대차,5380.0,2,36.0,주도눌림,58.69,리플레이,연기금 10일 순매수 · 대형 주도주 조건 · 기관 동행 · 대형 주도주 눌림,5,D+5,D+5,283500.0,2025-12-11,295500.0,4.2328,closed
20251204_삼성전자_D5,2025-12-04,삼성전자,5930.0,3,19.0,주도눌림,42.86,리플레이,대형 주도주 조건 · 대형 주도주 눌림,5,D+5,D+5,105100.0,2025-12-11,107300.0,2.0932,closed
