날짜,종목코드,종목명,현재섹터,추천테마,신뢰도,근거,승인상태
2026-05-13,483650,달바글로벌,화장품,화장품,0.5,섹터 fallback,pending
2026-05-13,090710,휴림로봇,기계,기계;자동화,0.68,섹터 기반(기계),pending
2026-05-13,003470,유안타증권,증권,증권,0.5,섹터 fallback,pending
2026-05-13,454910,두산로보틱스,기계,휴머노이드;로봇,0.96,종목명 키워드(휴머노이드 로봇),pending
2026-05-13,161580,필옵틱스,전자장비와기기,PCB;전자부품,0.7,섹터 기반(전자장비),pending
2026-05-13,161890,한국콜마,화장품,화장품,0.5,섹터 fallback,pending
2026-05-13,077360,덕산하이메탈,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-05-13,007810,코리아써키트,전자장비와기기,PCB;전자부품,0.7,섹터 기반(전자장비),pending
2026-05-13,059090,미코,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-05-13,058610,에스피지,전기제품,2차전지;전력,0.72,섹터 기반(전기),pending
2026-05-13,126340,비나텍,전기장비,2차전지;전력,0.72,섹터 기반(전기),pending
2026-05-13,089970,브이엠,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-05-13,307950,현대오토에버,IT서비스,IT서비스,0.5,섹터 fallback,pending
2026-05-13,067310,하나마이크론,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-05-13,295310,에이치브이엠,비철금속,비철금속,0.5,섹터 fallback,pending
2026-05-13,420770,기가비스,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-05-13,074600,원익QnC,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-05-13,046890,서울반도체,디스플레이장비및부품,반도체;반도체장비,0.86,종목명 키워드(반도체/세미),pending
2026-05-13,183300,코미코,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-05-13,204320,HL만도,자동차부품,자동차부품,0.5,섹터 fallback,pending
2026-05-13,028670,팬오션,해운사,해운사,0.5,섹터 fallback,pending
2026-05-13,056080,유진로봇,기계,기계;자동화,0.68,섹터 기반(기계),pending
2026-05-13,218410,RFHIC,통신장비,통신장비,0.5,섹터 fallback,pending
2026-05-13,440110,파두,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-05-13,011210,현대위아,자동차부품,자동차부품,0.5,섹터 fallback,pending
2026-05-13,052400,코나아이,IT서비스,IT서비스,0.5,섹터 fallback,pending
