종목명,일자,종가,외인,연기금,투신,사모
삼성전자,20260324,189700.0,-1169007.0,6402.0,-13142.0,-37856.0
삼성전자,20260323,186300.0,-1511721.0,-71928.0,-37466.0,-56456.0
삼성전자,20260320,199400.0,-77999.0,-10369.0,-14412.0,44087.0
삼성전자,20260319,200500.0,-428152.0,-39559.0,14641.0,17882.0
삼성전자,20260318,208500.0,280226.0,28698.0,-8836.0,-49247.0
삼성전자,20260317,193900.0,74982.0,23908.0,84849.0,11162.0
삼성전자,20260316,188700.0,-91358.0,75669.0,28598.0,6041.0
삼성전자,20260313,183500.0,-518780.0,59603.0,-116121.0,-29910.0
삼성전자,20260312,187900.0,-912239.0,19291.0,216.0,114992.0
삼성전자,20260311,190000.0,-148808.0,37981.0,30712.0,191.0
삼성전자,20260310,187900.0,775928.0,33587.0,16101.0,34431.0
삼성전자,20260309,173500.0,-1379459.0,-9832.0,-46765.0,23118.0
삼성전자,20260306,188200.0,-1157433.0,-35377.0,-28595.0,-47583.0
삼성전자,20260305,191600.0,-336092.0,-85607.0,-29901.0,-4245.0
삼성전자,20260304,172200.0,-695277.0,193626.0,49772.0,93137.0
삼성전자,20260303,195100.0,-3196726.0,60016.0,67349.0,30662.0
삼성전자,20260227,216500.0,-4224235.0,-68086.0,-135352.0,33470.0
삼성전자,20260226,218000.0,-1663474.0,-57059.0,-17923.0,1750.0
삼성전자,20260225,203500.0,-1785675.0,-26302.0,-117181.0,-68762.0
삼성전자,20260224,200000.0,-449640.0,-27119.0,-106522.0,-26452.0
SK하이닉스,20260324,986000.0,-288045.0,-2551.0,-2563.0,38599.0
SK하이닉스,20260323,933000.0,-172318.0,-12504.0,-70428.0,-80058.0
SK하이닉스,20260320,1007000.0,-727184.0,-3619.0,-46655.0,10471.0
SK하이닉스,20260319,1013000.0,-463483.0,-10799.0,70531.0,-29033.0
SK하이닉스,20260318,1056000.0,589682.0,1887.0,-7493.0,-61807.0
SK하이닉스,20260317,970000.0,-217185.0,7979.0,130657.0,-54706.0
SK하이닉스,20260316,974000.0,305676.0,-621.0,23424.0,57400.0
SK하이닉스,20260313,910000.0,-181494.0,-2266.0,-251312.0,25988.0
SK하이닉스,20260312,930000.0,-523397.0,4549.0,-831.0,58388.0
SK하이닉스,20260311,955000.0,114363.0,-10366.0,7874.0,16118.0
SK하이닉스,20260310,938000.0,706062.0,24014.0,61483.0,16499.0
SK하이닉스,20260309,836000.0,-1195739.0,-33393.0,-48300.0,-36453.0
SK하이닉스,20260306,924000.0,-499938.0,-56172.0,-43929.0,-48176.0
SK하이닉스,20260305,941000.0,313069.0,-16893.0,-2299.0,-50672.0
SK하이닉스,20260304,849000.0,-529040.0,39928.0,-4431.0,106693.0
SK하이닉스,20260303,939000.0,-1207002.0,41005.0,-10344.0,-82864.0
SK하이닉스,20260227,1061000.0,-2502937.0,-68926.0,-50064.0,-23646.0
SK하이닉스,20260226,1099000.0,-843834.0,-2458.0,-2399.0,-93345.0
SK하이닉스,20260225,1018000.0,-368074.0,-163.0,-79250.0,-50474.0
SK하이닉스,20260224,1005000.0,319293.0,22325.0,-442.0,-25443.0
삼성전자우,20260324,134100.0,20284.0,-4602.0,3110.0,18071.0
삼성전자우,20260323,130900.0,-16006.0,-9183.0,-2255.0,-22530.0
삼성전자우,20260320,139200.0,-346591.0,38628.0,-366.0,-5358.0
삼성전자우,20260319,144200.0,-118148.0,8155.0,-861.0,12551.0
삼성전자우,20260318,149100.0,49932.0,32597.0,-705.0,8554.0
삼성전자우,20260317,141000.0,-3174.0,8756.0,2421.0,28975.0
삼성전자우,20260316,138300.0,4533.0,-3996.0,3682.0,14176.0
삼성전자우,20260313,133900.0,-53083.0,-2077.0,1785.0,51552.0
삼성전자우,20260312,134000.0,-149295.0,2089.0,2113.0,-65119.0
삼성전자우,20260311,138900.0,-12624.0,-49585.0,-6156.0,43929.0
삼성전자우,20260310,134500.0,97658.0,-1360.0,-2388.0,14518.0
삼성전자우,20260309,121500.0,396.0,8093.0,6726.0,21114.0
삼성전자우,20260306,128000.0,6692.0,1831.0,-7896.0,-26281.0
삼성전자우,20260305,128600.0,-59870.0,18253.0,-2335.0,-24402.0
삼성전자우,20260304,114800.0,315789.0,4816.0,5686.0,17631.0
삼성전자우,20260303,129200.0,9922.0,29856.0,-7072.0,3062.0
삼성전자우,20260227,143800.0,-417051.0,41452.0,1485.0,3221.0
삼성전자우,20260226,148700.0,-196368.0,56720.0,8781.0,6555.0
삼성전자우,20260225,142300.0,-178696.0,30396.0,-668.0,-3660.0
삼성전자우,20260224,140900.0,34567.0,17230.0,5325.0,-3107.0
현대차,20260324,492000.0,-152624.0,5593.0,1130.0,-3449.0
현대차,20260323,485000.0,-281353.0,-3849.0,-28644.0,-20047.0
현대차,20260320,517000.0,-163324.0,-5389.0,-3092.0,-2996.0
현대차,20260319,522000.0,-137070.0,-25708.0,-5035.0,-7402.0
현대차,20260318,545000.0,-37640.0,-1604.0,-1788.0,-1507.0
현대차,20260317,522000.0,-554.0,-10340.0,8015.0,10486.0
현대차,20260316,506000.0,-223200.0,-10133.0,2227.0,-5974.0
현대차,20260313,517000.0,-104266.0,3428.0,49825.0,-7009.0
현대차,20260312,521000.0,-218783.0,-7180.0,-20001.0,-8560.0
현대차,20260311,530000.0,-144995.0,-11029.0,-1243.0,4758.0
현대차,20260310,525000.0,-140602.0,9227.0,-1527.0,-403.0
현대차,20260309,507000.0,-145643.0,-7330.0,-14694.0,-15954.0
현대차,20260306,553000.0,-110713.0,-7868.0,-2521.0,-19348.0
현대차,20260305,548000.0,-211431.0,-25470.0,28.0,-13165.0
현대차,20260304,501000.0,-63487.0,-17338.0,-12050.0,-32199.0
현대차,20260303,595000.0,-319605.0,3220.0,-19680.0,-3607.0
현대차,20260227,674000.0,36280.0,-18547.0,4374.0,-33255.0
현대차,20260226,609000.0,-131215.0,15630.0,43500.0,8949.0
현대차,20260225,572000.0,436125.0,4502.0,10616.0,10094.0
현대차,20260224,524000.0,-76044.0,-9140.0,-5141.0,455.0
LG에너지솔루션,20260324,392500.0,55744.0,27065.0,5596.0,4623.0
LG에너지솔루션,20260323,356000.0,2220.0,3390.0,-22557.0,387.0
LG에너지솔루션,20260320,375500.0,-3476.0,-877.0,-6402.0,16.0
LG에너지솔루션,20260319,371000.0,7062.0,-2488.0,-6806.0,-10572.0
LG에너지솔루션,20260318,383500.0,-7730.0,-7429.0,-614.0,-11162.0
LG에너지솔루션,20260317,380500.0,3155.0,29.0,38655.0,-10562.0
LG에너지솔루션,20260316,366000.0,-23085.0,-2829.0,31273.0,-516.0
LG에너지솔루션,20260313,369000.0,-32800.0,-5499.0,27512.0,-1108.0
LG에너지솔루션,20260312,384000.0,-25219.0,-9898.0,39599.0,3664.0
LG에너지솔루션,20260311,369500.0,4192.0,-13371.0,-341.0,-1231.0
LG에너지솔루션,20260310,367000.0,-10935.0,-12253.0,2400.0,-2979.0
LG에너지솔루션,20260309,359500.0,8525.0,-3907.0,-22354.0,1451.0
LG에너지솔루션,20260306,377500.0,6212.0,-6576.0,-10197.0,-267.0
LG에너지솔루션,20260305,371500.0,2306.0,-4105.0,11222.0,-6592.0
LG에너지솔루션,20260304,347500.0,64287.0,-5188.0,-9754.0,-3377.0
LG에너지솔루션,20260303,393000.0,17720.0,-6810.0,-8693.0,5119.0
LG에너지솔루션,20260227,427000.0,17124.0,64.0,4401.0,151.0
LG에너지솔루션,20260226,427000.0,14387.0,-11387.0,11389.0,20.0
LG에너지솔루션,20260225,426000.0,45050.0,2114.0,2211.0,174.0
LG에너지솔루션,20260224,412500.0,38860.0,17577.0,11660.0,4937.0
SK스퀘어,20260324,595000.0,23002.0,2603.0,-579.0,-4753.0
SK스퀘어,20260323,557000.0,-25686.0,4001.0,-1518.0,-7881.0
SK스퀘어,20260320,608000.0,-60442.0,2942.0,10401.0,169.0
SK스퀘어,20260319,611000.0,-22915.0,11221.0,-3080.0,-2178.0
SK스퀘어,20260318,630000.0,-73298.0,13415.0,16750.0,2607.0
SK스퀘어,20260317,587000.0,-20604.0,19353.0,19026.0,4775.0
SK스퀘어,20260316,562000.0,-31073.0,16562.0,10567.0,10125.0
SK스퀘어,20260313,534000.0,-5846.0,3247.0,-4715.0,-2034.0
SK스퀘어,20260312,554000.0,-38590.0,2223.0,3839.0,84.0
SK스퀘어,20260311,565000.0,-27236.0,4258.0,977.0,6588.0
SK스퀘어,20260310,554000.0,-8793.0,676.0,11387.0,3099.0
SK스퀘어,20260309,509000.0,46154.0,-10648.0,-11452.0,-7087.0
SK스퀘어,20260306,553000.0,61293.0,-13001.0,-16249.0,-7258.0
SK스퀘어,20260305,566000.0,35637.0,10873.0,1867.0,3318.0
SK스퀘어,20260304,507000.0,-14142.0,2868.0,6576.0,5069.0
SK스퀘어,20260303,581000.0,6564.0,-10586.0,6389.0,233.0
SK스퀘어,20260227,645000.0,-113222.0,-11070.0,-9470.0,-3610.0
SK스퀘어,20260226,679000.0,-65738.0,-1610.0,5670.0,-10620.0
SK스퀘어,20260225,647000.0,16081.0,10827.0,-11049.0,-13470.0
SK스퀘어,20260224,617000.0,52836.0,-5424.0,4468.0,-906.0
삼성바이오로직스,20260324,1547000.0,-5231.0,-922.0,-1745.0,-389.0
삼성바이오로직스,20260323,1523000.0,-3028.0,-2624.0,-784.0,224.0
삼성바이오로직스,20260320,1601000.0,5033.0,72.0,2197.0,159.0
삼성바이오로직스,20260319,1585000.0,-6492.0,-4145.0,-271.0,-347.0
삼성바이오로직스,20260318,1626000.0,8244.0,1132.0,-1438.0,-91.0
삼성바이오로직스,20260317,1587000.0,14200.0,-599.0,-3434.0,-188.0
삼성바이오로직스,20260316,1568000.0,-5735.0,-3560.0,-120.0,-695.0
삼성바이오로직스,20260313,1592000.0,-6584.0,-5064.0,5125.0,-825.0
삼성바이오로직스,20260312,1625000.0,-43442.0,-3280.0,30446.0,-134.0
삼성바이오로직스,20260311,1657000.0,20517.0,-1013.0,-944.0,-625.0
삼성바이오로직스,20260310,1592000.0,6347.0,-14232.0,-1237.0,-851.0
삼성바이오로직스,20260309,1579000.0,7557.0,-3339.0,-598.0,1216.0
삼성바이오로직스,20260306,1644000.0,19567.0,-8132.0,-3022.0,-633.0
삼성바이오로직스,20260305,1647000.0,16848.0,2051.0,-2951.0,-1674.0
삼성바이오로직스,20260304,1516000.0,4927.0,-2969.0,-1894.0,-1150.0
삼성바이오로직스,20260303,1681000.0,-4369.0,-2294.0,-5974.0,22.0
삼성바이오로직스,20260227,1778000.0,31598.0,-1526.0,-1328.0,508.0
삼성바이오로직스,20260226,1766000.0,46456.0,-6571.0,-403.0,2640.0
삼성바이오로직스,20260225,1728000.0,-2229.0,-1078.0,-3885.0,299.0
삼성바이오로직스,20260224,1723000.0,-17252.0,1155.0,-480.0,40.0
한화에어로스페이스,20260324,1335000.0,1759.0,3431.0,6785.0,3009.0
한화에어로스페이스,20260323,1278000.0,13464.0,-6258.0,-5567.0,179.0
한화에어로스페이스,20260320,1320000.0,-10825.0,-9225.0,-5766.0,-7078.0
한화에어로스페이스,20260319,1375000.0,-16159.0,3706.0,-2222.0,-1132.0
한화에어로스페이스,20260318,1390000.0,11139.0,-11913.0,-4614.0,-2730.0
한화에어로스페이스,20260317,1396000.0,-73282.0,-12336.0,-24202.0,-3303.0
한화에어로스페이스,20260316,1476000.0,-14888.0,7951.0,2379.0,1396.0
한화에어로스페이스,20260313,1488000.0,60080.0,2177.0,53852.0,1635.0
한화에어로스페이스,20260312,1465000.0,96153.0,-3212.0,5117.0,3098.0
한화에어로스페이스,20260311,1410000.0,41843.0,-4547.0,-14143.0,939.0
한화에어로스페이스,20260310,1455000.0,117578.0,-7016.0,-3985.0,3918.0
한화에어로스페이스,20260309,1434000.0,-91087.0,13353.0,13557.0,889.0
한화에어로스페이스,20260306,1481000.0,190138.0,10664.0,10625.0,-7680.0
한화에어로스페이스,20260305,1381000.0,-19797.0,4098.0,-5243.0,-11318.0
한화에어로스페이스,20260304,1323000.0,-61192.0,2736.0,-2312.0,-8653.0
한화에어로스페이스,20260303,1432000.0,-98520.0,20079.0,25180.0,33968.0
한화에어로스페이스,20260227,1195000.0,53260.0,9762.0,1021.0,4851.0
한화에어로스페이스,20260226,1194000.0,-22972.0,-6489.0,-8857.0,-2953.0
한화에어로스페이스,20260225,1212000.0,-68543.0,-5932.0,-9121.0,-2254.0
한화에어로스페이스,20260224,1241000.0,-21291.0,3090.0,-1924.0,689.0
두산에너빌리티,20260324,100100.0,-89913.0,-7240.0,-3245.0,-16676.0
두산에너빌리티,20260323,100700.0,-182880.0,-11424.0,-5286.0,-14759.0
두산에너빌리티,20260320,109600.0,157268.0,11365.0,5997.0,10222.0
두산에너빌리티,20260319,106300.0,33560.0,3095.0,1496.0,120.0
두산에너빌리티,20260318,107300.0,129445.0,947.0,-2438.0,3024.0
두산에너빌리티,20260317,104400.0,-40614.0,1938.0,-3007.0,-5619.0
두산에너빌리티,20260316,105700.0,-44494.0,9344.0,7238.0,-2779.0
두산에너빌리티,20260313,106500.0,87835.0,3639.0,168939.0,15694.0
두산에너빌리티,20260312,103500.0,79934.0,7066.0,8716.0,8880.0
두산에너빌리티,20260311,101000.0,-8843.0,58.0,-99.0,-6809.0
두산에너빌리티,20260310,102500.0,311637.0,19955.0,12011.0,15782.0
두산에너빌리티,20260309,96200.0,-184094.0,1168.0,4528.0,12296.0
두산에너빌리티,20260306,98000.0,18213.0,-666.0,6462.0,9594.0
두산에너빌리티,20260305,90500.0,-67801.0,3284.0,-1163.0,736.0
두산에너빌리티,20260304,80600.0,12881.0,-7253.0,117.0,5254.0
두산에너빌리티,20260303,96900.0,-59626.0,-2338.0,-1763.0,-6580.0
두산에너빌리티,20260227,106300.0,91680.0,-5820.0,-620.0,7250.0
두산에너빌리티,20260226,103800.0,23568.0,-12048.0,-6432.0,-3024.0
두산에너빌리티,20260225,103200.0,55037.0,6424.0,3866.0,3135.0
두산에너빌리티,20260224,101300.0,-42651.0,-11611.0,-5551.0,-791.0
기아,20260324,157900.0,-60371.0,-15145.0,4208.0,-7713.0
기아,20260323,161700.0,-50349.0,34028.0,570.0,-1563.0
기아,20260320,168500.0,-115099.0,1830.0,-279.0,-24952.0
기아,20260319,170500.0,-68380.0,13686.0,-3042.0,-776.0
기아,20260318,175100.0,-43480.0,17037.0,2251.0,-437.0
기아,20260317,167300.0,-55380.0,15970.0,167.0,-840.0
기아,20260316,162000.0,-69386.0,7188.0,-599.0,-1454.0
기아,20260313,164300.0,-67003.0,5674.0,46238.0,-922.0
기아,20260312,167000.0,-63772.0,10732.0,-982.0,-137.0
