날짜,종목코드,종목명,현재섹터,추천테마,신뢰도,근거,승인상태
2026-04-27,050890,쏠리드,통신장비,통신장비,0.5,섹터 fallback,pending
2026-04-27,483650,달바글로벌,화장품,화장품,0.5,섹터 fallback,pending
2026-04-27,079550,LIG디펜스앤에어로스페이스,우주항공과국방,우주항공과국방,0.5,섹터 fallback,pending
2026-04-27,368770,파이버프로,전자장비와기기,PCB;전자부품,0.7,섹터 기반(전자장비),pending
2026-04-27,399720,가온칩스,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-04-27,046890,서울반도체,디스플레이장비및부품,반도체;반도체장비,0.86,종목명 키워드(반도체/세미),pending
2026-04-27,183300,코미코,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-04-27,161890,한국콜마,화장품,화장품,0.5,섹터 fallback,pending
2026-04-27,036930,주성엔지니어링,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-04-27,440110,파두,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
2026-04-27,232140,와이씨,반도체와반도체장비,반도체;반도체장비,0.78,섹터 기반(반도체),pending
